index	Unique peptide	Shared peptide	color
Abdominal_Aorta	0.255207	0.340705	#cbc5d3
Adipose	0.367284	0.348637	#E59525
Adrenal_Gland	0.419391	0.377424	#A8D650
Aortic_Arch	0.335395	0.355559	#758E90
Colon	0.351507	0.356235	#E7C08D
Common_Iliac_Artery	0.245054	0.327522	#d0d1e6
Esophagus	0.369275	0.340337	#AF8C5C
Gallbladder	0.360811	0.352034	#8F8495
Heart_Left_Atrium	0.361385	0.308322	#6F1F71
Heart_Left_Ventricle	0.353387	0.324254	#9C5CA1
Heart_Mitral_Valve	0.281600	0.306659	#BA91BC
Heart_Right_Atrium	0.372105	0.310404	#8466A6
Heart_Right_Ventricle	0.324273	0.325703	#A780A0
Heart_Tricuspid_Valve	0.228214	0.293028	#9F98BF
Liver	0.507466	0.301730	#69AE6A
Lung_Apex	0.412195	0.333112	#76ADB8
Lung_Base	0.427732	0.305498	#AECBD1
Lymph_node	0.431026	0.304587	#ACAA95
Muscle	0.278895	0.287589	#7080BD
Ovary	0.317912	0.359549	#DF898D
Pancreas_Body	0.472874	0.222672	#902222
Pancreas_Head	0.341404	0.192321	#AB5F2C
Pancreas_Tail	0.443008	0.233413	#E59276
Prostate	0.343068	0.350433	#0CE3C3
Skin	0.298693	0.313317	#3A71A4
Small_Intestine	0.384236	0.341842	#535426
Spleen	0.367616	0.328186	#768454
Stomach	0.404762	0.323776	#F8D895
Thoracic_Aorta	0.295692	0.327179	#7e888e
Trachea	0.362116	0.315756	#D285A5
Uterus	0.231945	0.316473	#E35656
