index	Annotated	Novel
1	0.236311	0.313690
2	0.105613	0.140154
3	0.068284	0.084478
4	0.048886	0.055977
5	0.035036	0.040311
6	0.033706	0.034767
7	0.023984	0.024162
8	0.020316	0.023620
9	0.019031	0.018257
10	0.017335	0.017354
11	0.017197	0.016028
12	0.015592	0.013979
13	0.014033	0.012413
14	0.012015	0.012895
15	0.013207	0.010484
16	0.012382	0.010906
17	0.011190	0.010545
18	0.010227	0.008737
19	0.010593	0.008918
20	0.010227	0.009400
21	0.010914	0.008255
22	0.009906	0.009882
23	0.011786	0.008918
24	0.012107	0.008858
25	0.013758	0.009099
26	0.013574	0.010002
27	0.015179	0.010725
28	0.016188	0.011509
29	0.018710	0.010966
30	0.018573	0.007170
31	0.016142	0.008436
32	0.029671	0.011931
33	0.078327	0.017173
